spores,unit,max_regional_share
0,fraction,0.9997813934708827
1,fraction,0.3111355737738852
2,fraction,0.7939450301987762
3,fraction,0.36739125387461075
4,fraction,0.49575935230354956
5,fraction,0.4300267806466665
6,fraction,0.4311755264934697
7,fraction,0.46059693918349726
8,fraction,0.6125954652330823
9,fraction,0.6410576440175318
10,fraction,0.49687582063123104
11,fraction,0.612674235352439
12,fraction,0.5788281240768902
13,fraction,0.6573091264119599
14,fraction,0.6579082443501669
15,fraction,0.5192162385557939
16,fraction,0.4302649472536151
17,fraction,0.4402654158643781
18,fraction,0.35479459036226296
19,fraction,0.3127365852343326
20,fraction,0.3105828460010356
21,fraction,0.28113431153830115
22,fraction,0.30998170049791224
23,fraction,0.2666836244253862
24,fraction,0.3121362024117489
25,fraction,0.8618409492198317
26,fraction,0.9131718850991791
27,fraction,0.8377682940276182
28,fraction,0.8079304540792879
29,fraction,0.9334509864221511
30,fraction,0.9714981741403107
31,fraction,0.658778451925759
32,fraction,0.696366053167642
33,fraction,0.7956371648169951
34,fraction,0.8150802746978429
35,fraction,0.7031274876703785
36,fraction,0.5084087141196453
37,fraction,0.44044244516926184
38,fraction,0.40991572758910433
39,fraction,0.43467866408027567
40,fraction,0.4552763073862883
41,fraction,0.45860601658048705
42,fraction,0.4592029868617847
43,fraction,0.48013284562525355
44,fraction,0.6381362911881862
45,fraction,0.8262764012772392
46,fraction,0.7653118833113811
47,fraction,0.7420014180406161
48,fraction,0.7375056117107016
49,fraction,0.7351966172333817
50,fraction,0.7422161894009056
51,fraction,0.4834450432131096
52,fraction,0.6261648384583938
53,fraction,0.4800717512078612
54,fraction,0.624546737238958
55,fraction,0.48176914404505267
56,fraction,0.6248805413164393
57,fraction,0.481143521271283
58,fraction,0.6247655301318347
59,fraction,0.4809387080274373
60,fraction,0.6247426579279074
61,fraction,0.3729679301919359
62,fraction,0.6058483500889668
63,fraction,0.45203321973783434
64,fraction,0.5769145418066927
65,fraction,0.44898198585266036
66,fraction,0.5669161941619526
67,fraction,0.44481241388993725
68,fraction,0.566145292173863
69,fraction,0.4499327242485918
70,fraction,0.5539596127932729
71,fraction,0.367148633671607
72,fraction,0.5685943963972022
73,fraction,0.39397463011761324
74,fraction,0.5373814128987222
75,fraction,0.39812610991025743
76,fraction,0.536612101804589
77,fraction,0.3983306491332468
78,fraction,0.5376351544599923
79,fraction,0.3969482713846446
80,fraction,0.5280156050814774
81,fraction,0.4445967068301985
82,fraction,0.5154542083945564
83,fraction,0.3459793882306276
84,fraction,0.5100141733274186
85,fraction,0.3442361640551984
86,fraction,0.5101400264081849
87,fraction,0.3442874768025023
88,fraction,0.5099692494933014
89,fraction,0.3441468311026122
90,fraction,0.5101956809208785
91,fraction,0
92,fraction,0
93,fraction,0
94,fraction,0
95,fraction,0
96,fraction,0
97,fraction,0
98,fraction,0
99,fraction,0
100,fraction,0
101,fraction,0
102,fraction,0
103,fraction,0
104,fraction,0
105,fraction,0
106,fraction,0
107,fraction,0
108,fraction,0
109,fraction,0
110,fraction,0
111,fraction,0.36237859223943814
112,fraction,0.5754283241569932
113,fraction,0.38816725449285605
114,fraction,0.5423615990426709
115,fraction,0.39672182087142943
116,fraction,0.5372451770310686
117,fraction,0.391492037230123
118,fraction,0.6219646384939717
119,fraction,0.39502055598998326
120,fraction,0.5424686338264897
121,fraction,0.5657625272284108
122,fraction,0.6974714189103397
123,fraction,0.6698985277637525
124,fraction,0.6868595959351179
125,fraction,0.6632383289298921
126,fraction,0.6785758346596077
127,fraction,0.6262985381325283
128,fraction,0.6830135698235946
129,fraction,0.590043133404432
130,fraction,0.6807835796088616
131,fraction,0.3604016669179777
132,fraction,0.5144619265342016
133,fraction,0.4026152390295426
134,fraction,0.4951104053482178
135,fraction,0.39384186133222476
136,fraction,0.551491943847352
137,fraction,0.3984058114867023
138,fraction,0.5887128101412917
139,fraction,0.37776783450347967
140,fraction,0.5265087952554318
141,fraction,0.31538631227023134
142,fraction,0.9999507801521202
143,fraction,0.3070652683259261
144,fraction,0.9996866398642844
145,fraction,0.3116715854573283
146,fraction,0.999635997727149
147,fraction,0.30479099379769764
148,fraction,0.9995612679439536
149,fraction,0.31246585670148763
150,fraction,0.9999066733958543
151,fraction,1.0
152,fraction,1.0
153,fraction,1.0
154,fraction,1.0
155,fraction,1.0
156,fraction,1.0
157,fraction,1.0
158,fraction,1.0
159,fraction,1.0
160,fraction,1.0
161,fraction,0.9999584742937807
162,fraction,1.0
163,fraction,0.999543438482892
164,fraction,1.0
165,fraction,0.9997487062256551
166,fraction,0.9999604754187993
167,fraction,0.9998058597354431
168,fraction,0.9996359147245502
169,fraction,0.9998727286773513
170,fraction,1.0
171,fraction,1.0
172,fraction,1.0
173,fraction,1.0
174,fraction,1.0
175,fraction,1.0
176,fraction,1.0
177,fraction,0.9999493179013842
178,fraction,1.0
179,fraction,0.9998990953896673
180,fraction,1.0
181,fraction,0.44661807969829026
182,fraction,0.4464990832608846
183,fraction,0.446555090176607
184,fraction,0.44661205225009104
185,fraction,0.44670814898269046
186,fraction,0.4465555154709023
187,fraction,0.44671793042587854
188,fraction,0.44660216963807264
189,fraction,0.4466880047956582
190,fraction,0.44662089919494147
191,fraction,0.4466551999738072
192,fraction,0.44653197874823064
193,fraction,0.446586351380953
194,fraction,0.4465778539409466
195,fraction,0.4467014508379932
196,fraction,0.4465347022506058
197,fraction,0.44671385608003855
198,fraction,0.4465447161911867
199,fraction,0.4467160526650514
200,fraction,0.44657912939062794
201,fraction,1.0
202,fraction,0.9996222386455502
203,fraction,1.0
204,fraction,1.0
205,fraction,1.0
206,fraction,1.0
207,fraction,1.0
208,fraction,0.9992455267425039
209,fraction,1.0
210,fraction,1.0
211,fraction,0.9956876239997373
212,fraction,0.9973116448754367
213,fraction,0.9989555505190212
214,fraction,0.9969821179576361
215,fraction,0.9965951932443281
216,fraction,0.9961934927940518
217,fraction,0.9979690305719401
218,fraction,0.998814141244753
219,fraction,0.9950282294826035
220,fraction,0.9952772306940549
221,fraction,0.3626751964644548
222,fraction,0.5097949459066639
223,fraction,0.39969322502874527
224,fraction,0.48397638102632506
225,fraction,0.3868986470343189
226,fraction,0.4934801745534455
227,fraction,0.38824796937885425
228,fraction,0.5293449620194796
229,fraction,0.39907710922693707
230,fraction,0.5155842650243113
231,fraction,0.9692407847745439
232,fraction,0.7245047556787014
233,fraction,0.9984371394115072
234,fraction,0.8958058880088857
235,fraction,0.9856083683878671
236,fraction,0.986686407429471
237,fraction,0.9934185522279324
238,fraction,0.993129657465241
239,fraction,0.979742192412482
240,fraction,0.9947002719118218
241,fraction,1.0
242,fraction,0.990799439172247
243,fraction,0.9808320795606073
244,fraction,0.993123466556365
245,fraction,0.9798012711173927
246,fraction,0.9903003767027716
247,fraction,0.8311264215229136
248,fraction,0.9890062540136615
249,fraction,0.9853200047604915
250,fraction,0.9798318974641866
251,fraction,0.44796153990904
252,fraction,0.591885929103859
253,fraction,0.4986876252017178
254,fraction,0.3724420071713535
255,fraction,0.481337281276483
256,fraction,0.4233032673890697
257,fraction,0.45049543015125576
258,fraction,0.4026908177363478
259,fraction,0.4516853223668065
260,fraction,0.39442005952771353
